"field","class","keep","units"
"SpecCode","integer","TRUE","NA"
"Genus","character","TRUE","NA"
"Species","character","TRUE","NA"
"SpeciesRefNo","integer","TRUE","NA"
"Author","character","FALSE","NA"
"FBname","character","TRUE","NA"
"PicPreferredName","character","FALSE","NA"
"PicPreferredNameM","character","FALSE","NA"
"PicPreferredNameF","character","FALSE","NA"
"PicPreferredNameJ","character","FALSE","NA"
"FamCode","integer","TRUE","NA"
"Subfamily","character","TRUE","NA"
"GenCode","integer","FALSE","NA"
"SubGenCode","integer","FALSE","NA"
"BodyShapeI","character","TRUE","NA"
"Source","character","FALSE","NA"
"Remark","character","FALSE","NA"
"TaxIssue","character","FALSE","NA"
"Fresh","logical","TRUE","NA"
"Brack","logical","TRUE","NA"
"Saltwater","logical","TRUE","NA"
"DemersPelag","character","TRUE","NA"
"AnaCat","character","TRUE","NA"
"MigratRef","character","TRUE","NA"
"DepthRangeShallow","numeric","TRUE","meters"
"DepthRangeDeep","numeric","TRUE","meters"
"DepthRangeRef","integer","TRUE","NA"
"DepthRangeComShallow","numeric","TRUE","meters"
"DepthRangeComDeep","numeric","TRUE","meters"
"DepthComRef","integer","TRUE","NA"
"LongevityWild","numeric","TRUE","years"
"LongevityWildRef","integer","FALSE","ref"
"LongevityCaptive","numeric","TRUE","years"
"LongevityCapRef","integer","FALSE","ref"
"Vulnerability","numeric","TRUE","NA"
"Length","numeric","TRUE","cm"
"LTypeMaxM","character","TRUE","NA"
"LengthFemale","numeric","TRUE","NA"
"LTypeMaxF","character","TRUE","NA"
"MaxLengthRef","integer","FALSE","ref"
"CommonLength","character","TRUE","NA"
"LTypeComM","character","TRUE","NA"
"CommonLengthF","character","TRUE","NA"
"LTypeComF","character","TRUE","NA"
"CommonLengthRef","integer","FALSE","ref"
"Weight","character","TRUE","grams"
"WeightFemale","character","TRUE","NA"
"MaxWeightRef","integer","FALSE","ref"
"Pic","character","FALSE","NA"
"PictureFemale","character","FALSE","NA"
"LarvaPic","character","FALSE","NA"
"EggPic","character","FALSE","NA"
"ImportanceRef","character","FALSE","ref"
"Importance","character","TRUE","NA"
"PriceCateg","character","TRUE","NA"
"PriceReliability","character","TRUE","NA"
"Remarks7","character","FALSE","NA"
"LandingStatistics","character","TRUE","NA"
"Landings","character","TRUE","NA"
"MainCatchingMethod","character","TRUE","NA"
"II","character","FALSE","NA"
"MSeines","logical","TRUE","NA"
"MGillnets","logical","TRUE","NA"
"MCastnets","logical","TRUE","NA"
"MTraps","logical","TRUE","NA"
"MSpears","logical","TRUE","NA"
"MTrawls","logical","TRUE","NA"
"MDredges","logical","TRUE","NA"
"MLiftnets","logical","TRUE","NA"
"MHooksLines","logical","TRUE","NA"
"MOther","logical","TRUE","NA"
"UsedforAquaculture","character","TRUE","NA"
"LifeCycle","character","TRUE","NA"
"AquacultureRef","character","FALSE","ref"
"UsedasBait","character","TRUE","NA"
"BaitRef","character","FALSE","ref"
"Aquarium","character","TRUE","NA"
"AquariumFishII","character","FALSE","NA"
"AquariumRef","character","FALSE","ref"
"GameFish","logical","TRUE","NA"
"GameRef","integer","FALSE","ref"
"Dangerous","character","TRUE","NA"
"DangerousRef","integer","FALSE","ref"
"Electrogenic","character","FALSE","ref"
"ElectroRef","integer","FALSE","ref"
"Complete","character","TRUE","NA"
"GoogleImage","logical","FALSE","NA"
"Comments","character","FALSE","NA"
"Profile","character","FALSE","NA"
"PD50","character","TRUE","NA"
"Entered","integer","TRUE","contributor"
"DateEntered","Date","TRUE","NA"
"Modified","integer","TRUE","contributor"
"DateModified","Date","TRUE","NA"
"Expert","integer","TRUE","contributor"
"DateChecked","Date","TRUE","NA"
"TS","character","FALSE","NA"
